"sampledate","year4","month","daynum","hour","depth","wtemp","flag_wtemp","datetime"
"2005-09-01",2005,9,244,0,0,20.401,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,1,20.28,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,2,20.407,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,3,20.497,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,4,20.279,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,5,20.478,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,6,20.222,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,7,20.291,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,7.5,20.011,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,8,20.102,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,8.5,20.075,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,9,19.976,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,9.5,19.96,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,10,19.432,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,10.5,16.357,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,11,12.677,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,11.5,11.205,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,12,10.58,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,12.5,10.075,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,13,9.453,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,13.5,9.389,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,14,9.024,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,16,8.181,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,19,7.717,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,23,7.129,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,27,6.983,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,0,31,6.466,"",2005-09-01 00:00:00
"2005-09-01",2005,9,244,100,0,20.333,"",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,1,20.218,"",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,2,20.349,"",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,3,20.424,"",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,4,20.205,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,5,20.421,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,6,20.225,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,7,20.39,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,7.5,20.137,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,8,20.208,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,8.5,20.107,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,9,19.957,"H",2005-09-01 01:00:00
"2005-09-01",2005,9,244,100,9.5,19.952,"",2005-09-01 01:00:00
