"datetime","do.obs","do.sat","k.gas","irr","wtr","z.mix"
2005-09-01 00:00:00,8.07,8.42056593511549,1.52694033127227,0,20.85,15
2005-09-01 01:00:00,8.07,8.43385479560441,1.93638113848359,0,20.77,15
2005-09-01 02:00:00,8.07,8.44384593688191,1.40653094839096,0,20.71,15
2005-09-01 03:00:00,8.05,8.44884940494617,1.12491068447791,0,20.68,15
2005-09-01 04:00:00,8.02,8.4555289044999,1.0738355140008,0,20.64,15
2005-09-01 05:00:00,8.01,8.46221780383812,1.20098633048203,24.41,20.6,15
2005-09-01 06:00:00,8.06,8.46891612296106,1.59994532905076,146.17,20.56,15
2005-09-01 07:00:00,8.11,8.47059217693095,2.7811374030999,385.79,20.55,15
2005-09-01 08:00:00,8.14,8.47226882120342,2.85263543885764,998.19,20.54,15
2005-09-01 09:00:00,8.16,8.47394605609222,4.0508380240111,1296.77,20.53,15
2005-09-01 10:00:00,8.18,8.47730229897456,4.92464031764042,1494.73,20.51,15
2005-09-01 11:00:00,8.2,8.48066090809125,5.77423274070939,1548.48,20.49,15
2005-09-01 12:00:00,8.23,8.48234110077361,5.23034023577106,1538.32,20.48,15
2005-09-01 13:00:00,8.25,8.48402188595825,5.014597915182,1513.43,20.47,15
2005-09-01 14:00:00,8.28,8.47898130759642,5.59716178792411,1276.57,20.5,15
2005-09-01 15:00:00,8.29,8.48066090809125,4.98048633404821,996.95,20.49,15
2005-09-01 16:00:00,8.29,8.48906779967575,4.62292825856201,651.15,20.44,15
2005-09-01 17:00:00,8.26,8.49580399878788,4.04453726258968,188.62,20.4,15
2005-09-01 18:00:00,8.18,8.5059261545775,2.18261813477879,22.04,20.34,15
2005-09-01 19:00:00,8.16,8.5126861927405,1.49869762516482,0.1,20.3,15
2005-09-01 20:00:00,8.13,8.51437769697772,2.5855359608646,0,20.29,15
2005-09-01 21:00:00,8.14,8.52793130412828,2.67652683835866,0,20.21,15
2005-09-01 22:00:00,8.09,8.53132571017304,2.55281643279004,0,20.19,15
2005-09-01 23:00:00,8.12,8.54152337941481,2.51243371614839,0,20.13,15
2005-09-02 00:00:00,8.14,8.55344812998702,2.9306637239438,0,20.06,15
2005-09-02 01:00:00,8.15,8.56540256839284,3.54544361310212,0,19.99,15
2005-09-02 02:00:00,8.13,8.5671127752501,2.72605446612241,0,19.98,15
2005-09-02 03:00:00,8.09,8.56540256839284,2.86407935203788,0.1,19.99,15
2005-09-02 04:00:00,8.08,8.56540256839284,2.23166466329644,0,19.99,15
2005-09-02 05:00:00,8.08,8.57224704784224,2.22945663021784,9.02,19.95,15
2005-09-02 06:00:00,8.09,8.5756729428234,2.48968346575865,59.26,19.93,15
2005-09-02 07:00:00,8.11,8.57910127809728,2.18843576595828,181.5,19.91,15
2005-09-02 08:00:00,8.11,8.5756729428234,1.97345822555396,290.05,19.93,15
2005-09-02 09:00:00,8.12,8.57053501465133,2.03941754050203,405.26,19.96,15
2005-09-02 10:00:00,8.15,8.5688235905618,2.24033607623297,536.32,19.97,15
2005-09-02 11:00:00,8.18,8.5671127752501,1.8768583452522,786,19.98,15
2005-09-02 12:00:00,8.22,8.56198397874888,1.78204384575461,910.52,20.01,15
2005-09-02 13:00:00,8.24,8.5466303586367,2.0001445101019,1137.82,20.1,15
2005-09-02 14:00:00,8.23,8.53812174525591,2.08656473485946,867.13,20.15,15
2005-09-02 15:00:00,8.29,8.53302381558984,2.1740300366128,1062.01,20.18,15
2005-09-02 16:00:00,8.28,8.52114970225043,1.98912035411444,650.87,20.25,15
2005-09-02 17:00:00,8.24,8.5245393023386,2.02974357989297,298.98,20.23,15
2005-09-02 18:00:00,8.15,8.53132571017304,1.26691140191977,34,20.19,15
2005-09-02 19:00:00,8.08,8.53982226068361,1.24468817665663,0.1,20.14,15
2005-09-02 20:00:00,8.06,8.5466303586367,1.11212057038367,0,20.1,15
2005-09-02 21:00:00,8.06,8.55174277914364,1.1081570649867,0,20.07,15
2005-09-02 22:00:00,8.03,8.56027559531626,0.778957850350513,0,20.02,15
2005-09-02 23:00:00,7.99,8.56369296966678,0.846266539456693,0,20,15
2005-09-03 00:00:00,8.02,8.56369296966678,1.04204684759998,0,20,15
2005-09-03 01:00:00,8.02,8.5671127752501,1.04451601683858,0,19.98,15
2005-09-03 02:00:00,8,8.57053501465133,0.898484372888207,0,19.96,15
2005-09-03 03:00:00,7.94,8.5756729428234,0.706675762108688,0.1,19.93,15
2005-09-03 04:00:00,7.89,8.58081636165477,0.652150544520639,0,19.9,15
2005-09-03 05:00:00,7.91,8.58596527990515,0.675859811797914,20.9,19.87,15
2005-09-03 06:00:00,7.94,8.58768280959779,0.576682161925486,89.09,19.86,15
2005-09-03 07:00:00,8.01,8.58768280959779,0.608546973863144,458.82,19.86,15
2005-09-03 08:00:00,8.14,8.57738680526164,0.587053001136371,1037.88,19.92,15
2005-09-03 09:00:00,8.18,8.5466303586367,0.566067979692606,1234.78,20.1,15
2005-09-03 10:00:00,8.18,8.5059261545775,0.630467786935437,1426.52,20.34,15
2005-09-03 11:00:00,8.2,8.47730229897456,0.648800619418144,1530.15,20.51,15
2005-09-03 12:00:00,8.24,8.44884940494617,0.625298345846778,1549.42,20.68,15
2005-09-03 13:00:00,8.3,8.43052908602436,0.540643715855125,1355.77,20.79,15
2005-09-03 14:00:00,8.32,8.4089686883915,0.614805998328624,938.17,20.92,15
2005-09-03 15:00:00,8.26,8.31071628780737,0.553090685327182,612.21,21.52,15
2005-09-03 16:00:00,8.12,8.33183079806441,0.557317332475733,263.37,21.39,15
2005-09-03 17:00:00,8.07,8.39905076879894,0.7818318406268,88.52,20.98,15
2005-09-03 18:00:00,8.06,8.42886710562256,0.983293777705757,10.26,20.8,15
2005-09-03 19:00:00,8.04,8.42720570773336,0.87841705741795,0,20.81,15
2005-09-03 20:00:00,8.04,8.423884658255,0.803746194727194,0,20.83,15
2005-09-03 21:00:00,8.02,8.44217928521897,0.953374158801835,0,20.72,15
2005-09-03 22:00:00,8.04,8.48570326396008,0.925599735500923,0,20.46,15
2005-09-03 23:00:00,8.07,8.52114970225043,1.26878696770054,0,20.25,15
2005-09-04 00:00:00,8.09,8.55003803385188,1.44846650664617,0,20.08,15
2005-09-04 01:00:00,8.12,8.56540256839284,1.51832384454438,0,19.99,15
2005-09-04 02:00:00,8.09,8.5756729428234,1.23824256962272,0,19.93,15
2005-09-04 03:00:00,8.06,8.58768280959779,1.16619096350834,0,19.86,15
2005-09-04 04:00:00,8.03,8.59455905509006,1.12965067945235,0,19.82,15
2005-09-04 05:00:00,8.03,8.59972268139022,1.19371107746804,21.09,19.79,15
2005-09-04 06:00:00,8.11,8.60316817152283,1.45629294787869,108.75,19.77,15
2005-09-04 07:00:00,8.2,8.60316817152283,1.73319625162761,455.98,19.77,15
2005-09-04 08:00:00,8.22,8.60144511897888,1.8897253368044,963.15,19.78,15
2005-09-04 09:00:00,8.23,8.59283907405743,1.67712208676464,1223.57,19.83,15
2005-09-04 10:00:00,8.24,8.5688235905618,1.69964306718039,1412.93,19.97,15
2005-09-04 11:00:00,8.26,8.53812174525591,1.60000474729984,1490.73,20.15,15
2005-09-04 12:00:00,8.27,8.51776250131287,1.50147632131249,1498.33,20.27,15
2005-09-04 13:00:00,8.28,8.50423763814567,1.83638652971672,1345.92,20.35,15
2005-09-04 14:00:00,8.34,8.50761526793555,1.77454408154585,1079.49,20.33,15
2005-09-04 15:00:00,8.34,8.49917566723757,2.03259099201542,649.35,20.38,15
2005-09-04 16:00:00,8.33,8.50930497853709,1.83503104266044,453.13,20.32,15
2005-09-04 17:00:00,8.26,8.51437769697772,1.66294311083358,159.27,20.29,15
2005-09-04 18:00:00,8.19,8.51606979972915,1.52137602969367,18.24,20.28,15
2005-09-04 19:00:00,8.14,8.51776250131287,1.31515238978548,0,20.27,15
2005-09-04 20:00:00,8.12,8.51945580204715,1.36168355718344,0,20.26,15
2005-09-04 21:00:00,8.14,8.52114970225043,1.41678277728615,0,20.25,15
2005-09-04 22:00:00,8.16,8.52623500286121,1.56658100409866,0,20.22,15
2005-09-04 23:00:00,8.12,8.52962820645906,1.4300499619224,0,20.2,15
2005-09-05 00:00:00,8.1,8.53472252302923,1.54083861415077,0,20.17,15
2005-09-05 01:00:00,8.09,8.53812174525591,1.23135294033647,0,20.15,15
2005-09-05 02:00:00,8.08,8.54152337941481,1.36096331966631,0,20.13,15
2005-09-05 03:00:00,8.05,8.54492742807045,1.43817962013485,0,20.11,15
2005-09-05 04:00:00,8.04,8.55003803385188,1.32681107515861,0,20.08,15
2005-09-05 05:00:00,8.02,8.55174277914364,1.17883075938958,22.99,20.07,15
2005-09-05 06:00:00,8.03,8.55344812998702,1.04061047184049,174.57,20.06,15
2005-09-05 07:00:00,8.14,8.55344812998702,1.24565104998131,370.78,20.06,15
2005-09-05 08:00:00,8.21,8.55003803385188,1.3090017974366,813.56,20.08,15
2005-09-05 09:00:00,8.27,8.54152337941481,1.72323746989203,1105.7,20.13,15
2005-09-05 10:00:00,8.28,8.52962820645906,1.81649576250311,1275.33,20.2,15
2005-09-05 11:00:00,8.3,8.50930497853709,2.02959214581982,1431.85,20.32,15
2005-09-05 12:00:00,8.32,8.49580399878788,2.30397837103475,1467.73,20.4,15
2005-09-05 13:00:00,8.33,8.49580399878788,2.53445076311416,1038.17,20.4,15
2005-09-05 14:00:00,8.34,8.50086239479255,3.16686614825748,679.36,20.37,15
2005-09-05 15:00:00,8.36,8.49411905726048,2.25490131051357,821.07,20.41,15
2005-09-05 16:00:00,8.37,8.48402188595825,2.77017685561923,516.57,20.47,15
2005-09-05 17:00:00,8.3,8.47394605609222,2.61150734205714,202.2,20.53,15
2005-09-05 18:00:00,8.15,8.47059217693095,1.38987747729624,14.06,20.55,15
2005-09-05 19:00:00,8.11,8.45720024732412,1.36677270748311,0,20.63,15
